,Sample,Sampling_time,Site
RM-105,EXT4_neg,T1,extraction_negative
RM-106,PCR_neg2,T2,pcr_negative
RM-11,OTL11,T1,FO
RM-12,OTL12,T1,FO
RM-13,OTL13,T1,FO
RM-14,OTL14,T1,FO
RM-142,OTL11,T2,FO
RM-143,OTL12,T2,FO
RM-144,OTL13,T2,FO
RM-145,OTL14,T2,FO
RM-146,OTL15,T2,FO
RM-147,OTL21,T2,EO
RM-148,OTL22,T2,EO
RM-149,OTL23,T2,EO
RM-15,OTL15,T1,FO
RM-150,OTL24,T2,EO
RM-151,OTL25,T2,EO
RM-152,OTL31,T2,IO
RM-153,OTL32,T2,IO
RM-154,OTL33,T2,IO
RM-155,OTL34,T2,IO
RM-156,OTL35,T2,IO
RM-16,OTL21,T1,EO
RM-17,OTL22,T1,EO
RM-18,OTL23,T1,EO
RM-19,OTL22,T1,EO
RM-20,OTL25,T1,EO
RM-21,OTL31,T1,IO
RM-214,EXT1_neg,T2,extraction_negative
RM-215,EXT2_neg,T2,extraction_negative
RM-216,EXT3_neg,T2,extraction_negative
RM-217,PCR_neg1,T2,pcr_negative
RM-22,OTL32,T1,IO
RM-23,OTL33,T1,IO
RM-236,EXT4_neg,T2,extraction_negative
RM-237,PCR_neg1,T2,pcr_negative
RM-238,PBS_neg1,T2,pbs_negative
RM-24,OTL34,T1,IO
RM-25,OTL35,T1,IO
RM-93,EXT1_neg,T1,extraction_negative
RM-94,EXT2_neg,T1,extraction_negative
RM-95,EXT3_neg,T1,extraction_negative
RM-96,PCR_neg1,T1,pcr_negative
